Parametro,Valor,Descripcion
Archivo_Audio,audio_sdr_20260523_195813.wav,Nombre del audio WAV capturado
Timestamp_Celular_Local,2026-05-23T19:58:13-03:00,Fecha y hora del dispositivo celular
Latitud,-31.5126962,Latitud en grados decimales (WGS-84)
Longitud,-68.5084107,Longitud en grados decimales (WGS-84)
Precision_Metros,3.21,Margen de error horizontal reportado por el celular
Altitud_Metros,595.00,Altitud elipsoidal en metros
Velocidad_M_S,0.14,Velocidad de traslacion del celular (m/s)
Rumbo_Grados,105.18,Curso o direccion del movimiento en grados
Timestamp_GPS_UTC,2026-05-23T22:58:12.425Z,Momento de lectura real de los satelites (UTC)
Dispositivo,Navegador Web Movil,Medio de captura de telemetria
Frecuencia_Muestreo_Hz,8000,Tasa de digitalizacion del ADC
Muestras_Totales,83200,Total de muestras capturadas (16-bit)
Duracion_Segundos,10.400,Duracion temporal calculada
Proyecto,Intercomunicador SDR - INAUT (UNSJ),Investigacion de canal de transmision AFSK
