Parametro,Valor,Descripcion
Archivo_Audio,audio_sdr_20260526_220028.wav,Nombre del audio WAV capturado
Timestamp_Celular_Local,2026-05-26T22:00:28-03:00,Fecha y hora del dispositivo celular
Latitud,-31.5256526,Latitud en grados decimales (WGS-84)
Longitud,-68.5031302,Longitud en grados decimales (WGS-84)
Precision_Metros,3.00,Margen de error horizontal reportado por el celular
Altitud_Metros,653.80,Altitud elipsoidal en metros
Velocidad_M_S,0.07,Velocidad de traslacion del celular (m/s)
Rumbo_Grados,No disponible,Curso o direccion del movimiento en grados
Timestamp_GPS_UTC,2026-05-27T01:00:27.633Z,Momento de lectura real de los satelites (UTC)
Dispositivo,Navegador Web Movil,Medio de captura de telemetria
Frecuencia_Muestreo_Hz,19200,Tasa de digitalizacion del ADC
Muestras_Totales,902400,Total de muestras capturadas (16-bit)
Duracion_Segundos,47.000,Duracion temporal calculada
Proyecto,Intercomunicador SDR - INAUT (UNSJ),Investigacion de canal de transmision AFSK
