Parametro,Valor,Descripcion
Archivo_Audio,audio_sdr_20260531_184245.wav,Nombre del audio WAV capturado
Timestamp_Celular_Local,2026-05-31T18:42:45-03:00,Fecha y hora del dispositivo celular
Latitud,-31.5390019,Latitud en grados decimales (WGS-84)
Longitud,-68.5991950,Longitud en grados decimales (WGS-84)
Precision_Metros,3.00,Margen de error horizontal reportado por el celular
Altitud_Metros,703.00,Altitud elipsoidal en metros
Velocidad_M_S,0.18,Velocidad de traslacion del celular (m/s)
Rumbo_Grados,167.21,Curso o direccion del movimiento en grados
Timestamp_GPS_UTC,2026-05-31T21:42:45.440Z,Momento de lectura real de los satelites (UTC)
Dispositivo,Navegador Web Movil,Medio de captura de telemetria
Frecuencia_Muestreo_Hz,19200,Tasa de digitalizacion del ADC
Muestras_Totales,691200,Total de muestras capturadas (16-bit)
Duracion_Segundos,36.000,Duracion temporal calculada
Proyecto,Intercomunicador SDR - INAUT (UNSJ),Investigacion de canal de transmision AFSK
