Parametro,Valor,Descripcion
Archivo_Audio,audio_sdr_20260531_182349.wav,Nombre del audio WAV capturado
Timestamp_Celular_Local,2026-05-31T18:23:49-03:00,Fecha y hora del dispositivo celular
Latitud,-31.5391289,Latitud en grados decimales (WGS-84)
Longitud,-68.6048990,Longitud en grados decimales (WGS-84)
Precision_Metros,3.00,Margen de error horizontal reportado por el celular
Altitud_Metros,713.30,Altitud elipsoidal en metros
Velocidad_M_S,0.07,Velocidad de traslacion del celular (m/s)
Rumbo_Grados,No disponible,Curso o direccion del movimiento en grados
Timestamp_GPS_UTC,2026-05-31T21:23:49.754Z,Momento de lectura real de los satelites (UTC)
Dispositivo,Navegador Web Movil,Medio de captura de telemetria
Frecuencia_Muestreo_Hz,19200,Tasa de digitalizacion del ADC
Muestras_Totales,1516800,Total de muestras capturadas (16-bit)
Duracion_Segundos,79.000,Duracion temporal calculada
Proyecto,Intercomunicador SDR - INAUT (UNSJ),Investigacion de canal de transmision AFSK
