Parametro,Valor,Descripcion
Archivo_Audio,audio_sdr_20260531_190038.wav,Nombre del audio WAV capturado
Timestamp_Celular_Local,2026-05-31T19:00:38-03:00,Fecha y hora del dispositivo celular
Latitud,-31.5398177,Latitud en grados decimales (WGS-84)
Longitud,-68.5923620,Longitud en grados decimales (WGS-84)
Precision_Metros,3.00,Margen de error horizontal reportado por el celular
Altitud_Metros,704.60,Altitud elipsoidal en metros
Velocidad_M_S,0.08,Velocidad de traslacion del celular (m/s)
Rumbo_Grados,No disponible,Curso o direccion del movimiento en grados
Timestamp_GPS_UTC,2026-05-31T22:00:37.797Z,Momento de lectura real de los satelites (UTC)
Dispositivo,Navegador Web Movil,Medio de captura de telemetria
Frecuencia_Muestreo_Hz,19200,Tasa de digitalizacion del ADC
Muestras_Totales,1766400,Total de muestras capturadas (16-bit)
Duracion_Segundos,92.000,Duracion temporal calculada
Proyecto,Intercomunicador SDR - INAUT (UNSJ),Investigacion de canal de transmision AFSK
