Parametro,Valor,Descripcion
Archivo_Audio,audio_sdr_20260526_183314.wav,Nombre del audio WAV capturado
Timestamp_Celular_Local,2026-05-26T18:33:14-03:00,Fecha y hora del dispositivo celular
Latitud,-31.5128330,Latitud en grados decimales (WGS-84)
Longitud,-68.5081584,Longitud en grados decimales (WGS-84)
Precision_Metros,3.41,Margen de error horizontal reportado por el celular
Altitud_Metros,655.90,Altitud elipsoidal en metros
Velocidad_M_S,0.15,Velocidad de traslacion del celular (m/s)
Rumbo_Grados,155.46,Curso o direccion del movimiento en grados
Timestamp_GPS_UTC,2026-05-26T21:33:13.584Z,Momento de lectura real de los satelites (UTC)
Dispositivo,Navegador Web Movil,Medio de captura de telemetria
Frecuencia_Muestreo_Hz,19200,Tasa de digitalizacion del ADC
Muestras_Totales,96000,Total de muestras capturadas (16-bit)
Duracion_Segundos,5.000,Duracion temporal calculada
Proyecto,Intercomunicador SDR - INAUT (UNSJ),Investigacion de canal de transmision AFSK
