Parametro,Valor,Descripcion
Archivo_Audio,audio_sdr_20260531_183723.wav,Nombre del audio WAV capturado
Timestamp_Celular_Local,2026-05-31T18:37:23-03:00,Fecha y hora del dispositivo celular
Latitud,-31.5390258,Latitud en grados decimales (WGS-84)
Longitud,-68.5991893,Longitud en grados decimales (WGS-84)
Precision_Metros,3.00,Margen de error horizontal reportado por el celular
Altitud_Metros,709.50,Altitud elipsoidal en metros
Velocidad_M_S,0.07,Velocidad de traslacion del celular (m/s)
Rumbo_Grados,No disponible,Curso o direccion del movimiento en grados
Timestamp_GPS_UTC,2026-05-31T21:37:22.727Z,Momento de lectura real de los satelites (UTC)
Dispositivo,Navegador Web Movil,Medio de captura de telemetria
Frecuencia_Muestreo_Hz,19200,Tasa de digitalizacion del ADC
Muestras_Totales,2054400,Total de muestras capturadas (16-bit)
Duracion_Segundos,107.000,Duracion temporal calculada
Proyecto,Intercomunicador SDR - INAUT (UNSJ),Investigacion de canal de transmision AFSK
