Parametro,Valor,Descripcion
Archivo_Audio,audio_sdr_20260531_175459.wav,Nombre del audio WAV capturado
Timestamp_Celular_Local,2026-05-31T17:54:59-03:00,Fecha y hora del dispositivo celular
Latitud,-31.5424233,Latitud en grados decimales (WGS-84)
Longitud,-68.6092475,Longitud en grados decimales (WGS-84)
Precision_Metros,3.00,Margen de error horizontal reportado por el celular
Altitud_Metros,723.30,Altitud elipsoidal en metros
Velocidad_M_S,0.07,Velocidad de traslacion del celular (m/s)
Rumbo_Grados,No disponible,Curso o direccion del movimiento en grados
Timestamp_GPS_UTC,2026-05-31T20:54:58.748Z,Momento de lectura real de los satelites (UTC)
Dispositivo,Navegador Web Movil,Medio de captura de telemetria
Frecuencia_Muestreo_Hz,19200,Tasa de digitalizacion del ADC
Muestras_Totales,1536000,Total de muestras capturadas (16-bit)
Duracion_Segundos,80.000,Duracion temporal calculada
Proyecto,Intercomunicador SDR - INAUT (UNSJ),Investigacion de canal de transmision AFSK
